guest_name_norm,booking_id,email,paese,cibo_preferito,prima_visita,prima_visita_effettiva,check_out,durata_prima_visita,canale_prima_visita,currency,room_rate,adr_prima_visita,cancelled,net_revenue_eur,alta_stagione_prima_visita,post_promo,date_corretta,nome_ambiguo,repeat
aiko patel,BK00334,aiko.patel113@yahoo.com,Germany,senza glutine,2024-12-02,2024-12-02,2024-12-05,3,OTA,EUR,426.87,426.87,False,1280.61,True,False,False,False,0
aiko rossi,BK00085,aiko.rossi405@icloud.com,Switzerland,internazionale,2024-09-22,2024-09-22,2024-09-24,2,direct,EUR,475.91,475.91,False,951.82,True,False,False,False,0
aiko silva,BK00401,aiko.silva690@yahoo.com,USA,pesce,2024-12-11,2024-12-11,2024-12-17,6,direct,EUR,379.55,379.55,False,2277.3,True,False,False,False,0
aiko singh,BK00062,aiko.singh725@outlook.com,Japan,italiana,2024-09-19,2024-09-19,2024-09-24,5,OTA,EUR,312.24,312.24,False,1561.2,True,False,False,False,1
aiko suzuki,BK00494,aiko.suzuki966@outlook.com,UK,italiana,2024-12-25,2024-12-25,2024-12-28,3,direct,EUR,452.75,452.75,False,1358.25,True,False,False,False,1
al-farsi ananya,BK00158,ananya.al-farsi667@outlook.com,UK,vegana,2024-10-08,2024-10-08,2024-10-10,2,OTA,EUR,261.8,261.8,False,523.6,False,False,False,False,0
al-farsi anna,BK00194,anna.al-farsi291@outlook.com,Spain,internazionale,2024-10-16,2024-10-16,2024-10-18,2,OTA,EUR,202.53,202.53,False,405.06,False,False,False,False,0
al-farsi arjun,BK00154,arjun.al-farsi445@outlook.com,Spain,vegetariana,2024-10-06,2024-10-06,2024-10-08,2,OTA,EUR,217.53,217.53,False,435.06,False,False,False,False,0
al-farsi charlotte,BK00727,charlotte.al-farsi69@gmail.com,UK,pesce,2025-02-25,2025-02-25,2025-02-27,2,OTA,EUR,280.14,280.14,False,560.28,False,False,False,False,0
al-farsi henri,BK00086,henri.al-farsi602@outlook.com,Japan,internazionale,2024-09-22,2024-09-22,2024-09-27,5,direct,EUR,371.05,371.05,False,1855.25,True,False,False,False,1
al-farsi jean,BK00050,jean.al-farsi314@yahoo.com,UAE,vegana,2024-09-17,2024-09-17,2024-09-22,5,OTA,EUR,421.82,421.82,False,2109.1,True,False,False,False,0
al-farsi laura,BK00546,laura.al-farsi89@yahoo.com,Italy,kosher,2025-01-03,2025-01-03,2025-01-08,5,OTA,USD,228.4,210.13,False,1050.65,False,False,False,False,0
al-farsi valentina,BK00124,valentina.al-farsi21@yahoo.com,Switzerland,pesce,2024-09-28,2024-09-28,2024-10-01,3,direct,EUR,440.72,440.72,False,1322.16,True,False,False,False,0
al-rashid ingrid,BK00424,ingrid.al-rashid237@outlook.com,Switzerland,pesce,2024-12-15,2024-12-15,2024-12-20,5,OTA,EUR,447.64,447.64,False,2238.2,True,False,False,False,0
al-rashid isabella,BK00238,isabella.al-rashid518@yahoo.com,USA,italiana,2024-10-31,2024-10-31,2024-11-01,1,OTA,EUR,234.51,234.51,False,234.51,False,False,False,False,0
al-rashid john,BK00553,john.al-rashid634@yahoo.com,USA,halal,2025-01-05,2025-01-05,2025-01-08,3,OTA,EUR,231.83,231.83,False,695.49,False,False,False,False,1
al-rashid kenji,BK00418,kenji.al-rashid280@outlook.com,UK,kosher,2024-12-14,2024-12-14,2024-12-20,6,OTA,EUR,420.67,420.67,False,2524.02,True,False,False,False,0
al-rashid klaus,BK00757,klaus.al-rashid635@yahoo.com,Japan,pesce,2025-03-08,2025-03-08,2025-03-11,3,OTA,EUR,184.14,184.14,False,552.42,False,False,False,False,0
al-rashid laura,BK00215,laura.al-rashid586@outlook.com,UK,senza glutine,2024-10-23,2024-10-23,2024-10-27,4,OTA,EUR,255.35,255.35,False,1021.4,False,False,False,False,0
al-rashid patricia,BK00728,patricia.al-rashid610@gmail.com,Spain,senza glutine,2025-02-26,2025-02-26,2025-03-02,4,OTA,EUR,211.48,211.48,False,845.92,False,False,False,False,1
al-rashid thomas,BK00027,thomas.al-rashid958@yahoo.com,Japan,senza glutine,2024-09-14,2024-09-14,2024-09-16,2,direct,EUR,414.66,414.66,False,829.32,True,False,False,False,1
al-rashid william,BK00348,william.al-rashid296@yahoo.com,UAE,italiana,2024-12-04,2024-12-04,2024-12-07,3,direct,EUR,400.68,400.68,False,1202.04,True,False,False,False,0
al-rashid yuki,BK00159,yuki.al-rashid180@outlook.com,UAE,internazionale,2024-10-08,2024-10-08,2024-10-10,2,OTA,EUR,179.23,179.23,False,358.46,False,False,False,False,1
alessandro andersen,BK00765,alessandro.andersen395@gmail.com,USA,internazionale,2025-03-10,2025-03-10,2025-03-13,3,OTA,EUR,203.34,203.34,False,610.02,False,False,False,False,0
alessandro ferrari,BK00512,alessandro.ferrari67@icloud.com,UK,kosher,2024-12-27,2024-12-27,2024-12-28,1,direct,EUR,458.82,458.82,False,458.82,True,False,False,False,0
alessandro ferreira,BK00140,alessandro.ferreira730@icloud.com,Germany,internazionale,2024-10-03,2024-10-03,2024-10-13,10,direct,EUR,297.84,297.84,False,2978.4,False,False,False,False,1
alessandro hassan,BK00176,alessandro.hassan317@outlook.com,USA,internazionale,2024-10-12,2024-10-12,2024-10-15,3,OTA,EUR,189.11,189.11,False,567.33,False,False,False,False,0
alessandro ivanov,BK00167,alessandro.ivanov535@gmail.com,France,vegetariana,2024-10-11,2024-10-11,2024-10-13,2,OTA,EUR,253.2,253.2,False,506.4,False,False,False,False,0
alessandro kim,BK00217,alessandro.kim452@yahoo.com,UAE,senza glutine,2024-10-24,2024-10-24,2024-10-28,4,OTA,USD,236.23,217.33,False,869.32,False,False,False,False,0
alessandro kowalski,BK00549,alessandro.kowalski615@yahoo.com,Germany,vegetariana,2025-01-04,2025-01-04,2025-01-11,7,OTA,USD,258.15,237.5,False,1662.5,False,False,False,False,1
alessandro meyer,BK00200,alessandro.meyer973@outlook.com,Netherlands,internazionale,2024-10-18,2024-10-18,2024-10-19,1,OTA,EUR,255.13,255.13,False,255.13,False,False,False,False,0
alessandro muller,BK00513,alessandro.muller491@yahoo.com,USA,pesce,2024-12-28,2024-12-28,2024-12-30,2,direct,USD,339.78,312.6,False,625.2,True,False,False,False,1
alessandro nowak,BK00018,alessandro.nowak646@icloud.com,USA,italiana,2024-09-12,2024-09-12,2024-09-15,3,OTA,EUR,460.93,460.93,False,1382.79,True,False,False,False,1
alessandro park,BK00362,alessandro.park793@icloud.com,UK,pesce,2024-12-05,2024-12-05,2024-12-10,5,OTA,EUR,400.77,400.77,False,2003.85,True,False,False,False,0
alessandro schmidt,BK00045,alessandro.schmidt699@outlook.com,Germany,internazionale,2024-09-17,2024-09-17,2024-09-18,1,OTA,USD,433.73,399.03,False,399.03,True,False,False,False,0
alessandro sharma,BK00714,alessandro.sharma443@outlook.com,UK,italiana,2025-02-21,2025-02-21,2025-02-23,2,OTA,EUR,295.75,295.75,False,591.5,False,False,False,False,0
alessandro tanaka,BK00698,alessandro.tanaka679@icloud.com,Germany,internazionale,2025-02-16,2025-02-16,2025-02-20,4,OTA,USD,240.74,221.48,False,885.92,False,False,False,False,0
alessandro wagner,BK00021,alessandro.wagner7@outlook.com,Netherlands,pesce,2024-09-13,2024-09-13,2024-09-17,4,direct,EUR,474.78,474.78,False,1899.12,True,False,False,False,0
alessandro weber,BK00011,alessandro.weber970@yahoo.com,Japan,kosher,2024-09-11,2024-09-11,2024-09-14,3,OTA,EUR,411.3,411.3,False,1233.9,True,False,False,False,0
amelia hassan,BK00722,amelia.hassan782@icloud.com,UK,kosher,2025-02-24,2025-02-24,2025-02-25,1,OTA,EUR,186.54,186.54,False,186.54,False,False,False,False,0
amelia kim,BK00012,amelia.kim240@yahoo.com,UAE,vegana,2024-09-11,2024-09-11,2024-09-13,2,OTA,EUR,534.44,534.44,False,1068.88,True,False,False,False,1
amelia patel,BK00254,amelia.patel562@outlook.com,Netherlands,senza glutine,2024-11-05,2024-11-05,2024-11-10,5,OTA,EUR,236.63,236.63,False,1183.15,False,False,False,False,0
amelia ricci,BK00029,amelia.ricci671@icloud.com,USA,halal,2024-09-14,2024-09-14,2024-09-17,3,OTA,EUR,451.45,451.45,False,1354.35,True,False,False,False,0
amelia silva,BK00175,amelia.silva301@icloud.com,Japan,vegetariana,2024-10-12,2024-10-12,2024-10-15,3,OTA,EUR,237.24,237.24,False,711.72,False,False,False,False,0
ananya bernard,BK00665,ananya.bernard770@outlook.com,UAE,vegetariana,2025-02-06,2025-02-06,2025-02-08,2,OTA,EUR,188.68,188.68,False,377.36,False,False,False,False,0
ananya ferrari,BK00752,ananya.ferrari963@outlook.com,Italy,vegetariana,2025-03-06,2025-03-06,2025-03-08,2,OTA,EUR,233.42,233.42,False,466.84,False,False,False,False,0
ananya fischer,BK00299,ananya.fischer554@outlook.com,France,vegana,2024-11-18,2024-11-18,2024-11-23,5,direct,EUR,238.21,238.21,False,1191.05,False,False,False,False,1
ananya garcia,BK00113,ananya.garcia535@icloud.com,Switzerland,italiana,2024-09-27,2024-09-27,2024-09-30,3,OTA,USD,466.75,429.41,False,1288.23,True,False,False,False,1
ananya klein,BK00120,ananya.klein655@outlook.com,USA,internazionale,2024-09-28,2024-09-28,2024-10-01,3,OTA,EUR,473.09,473.09,False,1419.27,True,False,False,False,1
ananya park,BK00475,ananya.park16@outlook.com,Germany,italiana,2024-12-22,2024-12-22,2024-12-26,4,OTA,EUR,397.19,397.19,False,1588.76,True,False,False,False,1
ananya singh,BK00198,ananya.singh231@gmail.com,Japan,vegana,2024-10-18,2024-10-18,2024-10-21,3,OTA,EUR,287.18,287.18,False,861.54,False,False,False,False,0
andersen astrid,BK00491,astrid.andersen752@yahoo.com,Netherlands,halal,2024-12-25,2024-12-25,2024-12-26,1,OTA,USD,423.53,389.65,False,389.65,True,False,False,False,0
andersen camille,BK00333,camille.andersen722@icloud.com,Italy,senza glutine,2024-12-02,2024-12-02,2024-12-04,2,direct,USD,377.19,347.01,False,694.02,True,False,False,False,1
andersen charlotte,BK00664,charlotte.andersen354@gmail.com,UK,senza glutine,2025-02-06,2025-02-06,2025-02-10,4,OTA,EUR,236.5,236.5,False,946.0,False,False,False,False,0
andersen elena,BK00469,elena.andersen670@icloud.com,France,italiana,2024-12-22,2024-12-22,2024-12-26,4,OTA,USD,522.08,480.31,False,1921.24,True,False,False,False,0
andersen emma,BK00691,emma.andersen350@icloud.com,USA,internazionale,2025-02-14,2025-02-14,2025-02-16,2,OTA,EUR,213.43,213.43,False,426.86,False,False,False,False,0
andersen erik,BK00430,erik.andersen924@icloud.com,Italy,kosher,2024-12-15,2024-12-15,2024-12-23,8,OTA,USD,378.63,348.34,False,2786.72,True,False,False,False,0
andersen fatima,BK00368,fatima.andersen491@icloud.com,France,halal,2024-12-06,2024-12-06,2024-12-10,4,OTA,EUR,453.04,453.04,False,1812.16,True,False,False,False,0
andersen giorgia,BK00382,giorgia.andersen517@icloud.com,Spain,italiana,2024-12-08,2024-12-08,2024-12-10,2,direct,EUR,390.33,390.33,False,780.66,True,False,False,False,0
andersen giulia,BK00023,giulia.andersen900@yahoo.com,Japan,kosher,2024-09-13,2024-09-13,2024-09-15,2,direct,EUR,476.98,476.98,False,953.96,True,False,False,False,1
andersen john,BK00082,john.andersen568@icloud.com,UK,pesce,2024-09-22,2024-09-22,2024-09-24,2,OTA,EUR,457.04,457.04,False,914.08,True,False,False,False,0
andersen omar,BK00398,omar.andersen83@yahoo.com,Germany,vegetariana,2024-12-11,2024-12-11,2024-12-18,7,OTA,EUR,481.38,481.38,False,3369.66,True,False,False,False,1
andersen simone,BK00552,simone.andersen822@icloud.com,Switzerland,pesce,2025-01-05,2025-01-05,2025-01-07,2,OTA,USD,264.06,242.94,False,485.88,False,False,False,False,0
andrea colombo,BK00492,andrea.colombo577@icloud.com,Spain,kosher,2024-12-25,2024-12-25,2024-12-28,3,OTA,EUR,329.83,329.83,False,989.49,True,False,False,False,0
andrea conti,BK00412,andrea.conti606@icloud.com,Netherlands,senza glutine,2024-12-13,2024-12-13,2024-12-15,2,direct,EUR,434.8,434.8,False,869.6,True,False,False,False,1
andrea ferrari,BK00748,andrea.ferrari756@outlook.com,USA,pesce,2025-03-05,2025-03-05,2025-03-06,1,direct,EUR,238.05,238.05,False,238.05,False,False,False,False,1
andrea ivanov,BK00110,andrea.ivanov253@yahoo.com,Japan,senza glutine,2024-09-27,2024-09-27,2024-09-30,3,direct,USD,477.98,439.74,False,1319.22,True,False,False,False,1
andrea kobayashi,BK00170,andrea.kobayashi6@outlook.com,Germany,pesce,2024-10-11,2024-10-11,2024-10-12,1,OTA,EUR,241.08,241.08,False,241.08,False,False,False,False,0
andrea rossi,BK00276,andrea.rossi180@outlook.com,Switzerland,vegetariana,2024-11-11,2024-11-11,2024-11-15,4,OTA,USD,217.57,200.16,False,800.64,False,False,False,False,0
andrea schmidt,BK00643,andrea.schmidt222@gmail.com,UAE,pesce,2025-01-29,2025-01-29,2025-01-30,1,OTA,EUR,285.86,285.86,False,285.86,False,False,False,False,0
anna chen,BK00596,anna.chen377@gmail.com,Japan,internazionale,2025-01-17,2025-01-17,2025-01-19,2,OTA,EUR,181.59,181.59,False,363.18,False,False,False,False,0
anna colombo,BK00587,anna.colombo188@gmail.com,UK,halal,2025-01-15,2025-01-15,2025-01-18,3,direct,EUR,232.35,232.35,False,697.05,False,False,False,False,0
anna conti,BK00472,anna.conti348@gmail.com,USA,vegetariana,2024-12-22,2024-12-22,2024-12-30,8,direct,USD,424.23,390.29,False,3122.32,True,False,False,False,0
anna esposito,BK00188,anna.esposito732@yahoo.com,USA,vegana,2024-10-15,2024-10-15,2024-10-16,1,OTA,EUR,271.91,271.91,False,271.91,False,False,False,False,0
anna girard,BK00214,anna.girard3@yahoo.com,Japan,halal,2024-10-23,2024-10-23,2024-10-24,1,OTA,USD,264.06,242.94,False,242.94,False,False,False,False,0
anna lefevre,BK00439,anna.lefevre135@outlook.com,France,vegetariana,2024-12-17,2024-12-17,2024-12-21,4,direct,USD,425.61,391.56,False,1566.24,True,False,False,False,0
anna leroy,BK00564,anna.leroy48@gmail.com,Spain,vegetariana,2025-01-10,2025-01-10,2025-01-13,3,OTA,EUR,235.28,235.28,False,705.84,False,False,False,False,0
anna lopez,BK00231,anna.lopez682@icloud.com,Switzerland,vegetariana,2024-10-29,2024-10-29,2024-10-31,2,OTA,EUR,227.5,227.5,False,455.0,False,False,False,False,1
anna nowak,BK00052,anna.nowak296@icloud.com,Japan,vegana,2024-09-18,2024-09-18,2024-09-21,3,direct,EUR,432.69,432.69,False,1298.07,True,False,True,False,0
anna tanaka,BK00297,anna.tanaka833@outlook.com,Italy,vegetariana,2024-11-17,2024-11-17,2024-11-20,3,direct,EUR,259.21,259.21,False,777.63,False,False,False,False,0
arjun conti,BK00759,arjun.conti88@icloud.com,Japan,pesce,2025-03-08,2025-03-08,2025-03-10,2,OTA,EUR,234.66,234.66,False,469.32,False,False,False,False,0
arjun kim,BK00342,arjun.kim720@outlook.com,Spain,senza glutine,2024-12-03,2024-12-03,2024-12-06,3,direct,EUR,389.25,389.25,False,1167.75,True,False,False,False,0
arjun klein,BK00660,arjun.klein559@outlook.com,USA,internazionale,2025-02-05,2025-02-05,2025-02-07,2,OTA,EUR,201.25,201.25,False,402.5,False,False,False,False,0
arjun kowalski,BK00636,arjun.kowalski239@outlook.com,Switzerland,pesce,2025-01-28,2025-01-28,2025-01-29,1,OTA,EUR,257.04,257.04,False,257.04,False,False,False,False,0
arjun nowak,BK00077,arjun.nowak147@icloud.com,UK,halal,2024-09-22,2024-09-22,2024-09-25,3,OTA,USD,409.17,376.44,False,1129.32,True,False,False,False,1
arjun park,BK00127,arjun.park702@yahoo.com,France,vegana,2024-09-29,2024-09-29,2024-10-02,3,OTA,EUR,379.15,379.15,False,1137.45,True,False,False,False,1
arjun singh,BK00489,arjun.singh548@yahoo.com,Italy,internazionale,2024-12-25,2024-12-25,2024-12-27,2,direct,EUR,390.51,390.51,False,781.02,True,False,False,False,1
arjun smith,BK00108,arjun.smith444@gmail.com,Japan,senza glutine,2024-09-26,2024-09-26,2024-09-29,3,direct,EUR,416.84,416.84,False,1250.52,True,False,False,False,0
arjun sokolov,BK00416,arjun.sokolov151@icloud.com,Switzerland,vegetariana,2024-12-13,2024-12-13,2024-12-17,4,OTA,EUR,412.56,412.56,False,1650.24,True,False,False,False,0
arjun weber,BK00626,arjun.weber76@gmail.com,France,pesce,2025-01-24,2025-01-24,2025-01-27,3,OTA,EUR,222.3,222.3,False,666.9,False,False,False,False,0
astrid fischer,BK00423,astrid.fischer739@gmail.com,Germany,senza glutine,2024-12-15,2024-12-15,2024-12-17,2,OTA,EUR,399.26,399.26,False,798.52,True,False,False,False,0
astrid novak,BK00273,astrid.novak745@gmail.com,Switzerland,kosher,2024-11-09,2024-11-09,2024-11-11,2,OTA,EUR,176.1,176.1,False,352.2,False,False,False,False,0
astrid park,BK00516,astrid.park206@gmail.com,Switzerland,italiana,2024-12-28,2024-12-28,2025-01-03,6,OTA,EUR,411.46,411.46,False,2468.76,True,False,False,False,1
astrid patel,BK00413,astrid.patel624@icloud.com,Spain,italiana,2024-12-13,2024-12-13,2024-12-17,4,OTA,EUR,463.04,463.04,False,1852.16,True,False,False,False,1
astrid ricci,BK00330,astrid.ricci91@yahoo.com,UAE,pesce,2024-12-01,2024-12-01,2024-12-06,5,OTA,EUR,325.33,325.33,False,1626.65,True,False,False,False,0
astrid wagner,BK00101,astrid.wagner980@icloud.com,USA,kosher,2024-09-25,2024-09-25,2024-09-28,3,direct,EUR,422.59,422.59,False,1267.77,True,False,False,False,0
bernard isabella,BK00233,isabella.bernard603@icloud.com,France,senza glutine,2024-10-30,2024-10-30,2024-11-01,2,OTA,USD,223.5,205.62,False,411.24,False,False,False,False,0
bernard john,BK00185,john.bernard434@gmail.com,UK,pesce,2024-10-14,2024-10-14,2024-10-18,4,OTA,EUR,217.51,217.51,False,870.04,False,False,False,False,0
bernard matteo,BK00399,matteo.bernard387@icloud.com,Japan,pesce,2024-12-11,2024-12-11,2024-12-17,6,OTA,EUR,402.08,402.08,False,2412.48,True,False,False,False,1
bernard silvia,BK00032,silvia.bernard450@gmail.com,France,internazionale,2024-09-15,2024-09-15,2024-09-22,7,OTA,EUR,437.39,437.39,False,3061.73,True,False,False,False,0
bianchi carlos,BK00240,carlos.bianchi250@outlook.com,USA,vegetariana,2024-11-01,2024-11-01,2024-11-03,2,OTA,USD,229.91,211.52,False,423.04,False,False,False,False,0
bianchi david,BK00570,david.bianchi922@outlook.com,Italy,internazionale,2025-01-12,2025-01-12,2025-01-13,1,OTA,EUR,254.86,254.86,False,254.86,False,False,False,False,0
bianchi fatima,BK00281,fatima.bianchi958@icloud.com,UK,pesce,2024-11-13,2024-11-13,2024-11-18,5,OTA,EUR,227.15,227.15,False,1135.75,False,False,False,False,0
bianchi hans,BK00766,hans.bianchi866@gmail.com,Italy,senza glutine,2025-03-10,2025-03-10,2025-03-17,7,OTA,EUR,264.97,264.97,False,1854.79,False,False,False,False,1
bianchi layla,BK00637,layla.bianchi767@outlook.com,Netherlands,italiana,2025-01-28,2025-01-28,2025-01-29,1,OTA,EUR,224.75,224.75,False,224.75,False,False,False,False,1
bianchi nikolai,BK00270,nikolai.bianchi527@outlook.com,Spain,kosher,2024-11-08,2024-11-08,2024-11-11,3,direct,EUR,226.65,226.65,False,679.95,False,False,False,False,0
bianchi omar,BK00184,omar.bianchi909@outlook.com,Italy,senza glutine,2024-10-14,2024-10-14,2024-10-18,4,OTA,EUR,189.23,189.23,False,756.92,False,False,False,False,0
bianchi pierre,BK00131,pierre.bianchi593@icloud.com,Switzerland,vegana,2024-09-30,2024-09-30,2024-10-04,4,direct,EUR,404.15,404.15,False,1616.6,True,False,False,False,1
bianchi priya,BK00207,priya.bianchi298@icloud.com,Switzerland,internazionale,2024-10-21,2024-10-21,2024-10-23,2,OTA,USD,280.15,257.74,False,515.48,False,False,False,False,0
bianchi william,BK00160,william.bianchi536@gmail.com,Germany,vegetariana,2024-10-08,2024-10-08,2024-10-09,1,OTA,EUR,249.81,249.81,False,249.81,False,False,False,False,0
bruno chiara,BK00644,chiara.bruno971@yahoo.com,Japan,vegana,2025-01-31,2025-01-31,2025-02-04,4,OTA,EUR,205.79,205.79,False,823.16,False,False,False,False,0
bruno david,BK00220,david.bruno423@yahoo.com,UAE,pesce,2024-10-25,2024-10-25,2024-10-27,2,OTA,EUR,226.07,226.07,False,452.14,False,False,False,False,0
bruno layla,BK00493,layla.bruno211@icloud.com,UK,italiana,2024-12-25,2024-12-25,2024-12-27,2,OTA,USD,463.08,426.03,False,852.06,True,False,False,False,0
bruno lucia,BK00051,lucia.bruno626@yahoo.com,UAE,vegetariana,2024-09-17,2024-09-17,2024-09-21,4,direct,USD,393.09,361.64,False,1446.56,True,False,False,False,1
bruno olga,BK00381,olga.bruno336@icloud.com,Germany,vegetariana,2024-12-07,2024-12-07,2024-12-09,2,OTA,EUR,401.97,401.97,False,803.94,True,False,False,False,1
bruno sara,BK00312,sara.bruno830@icloud.com,USA,italiana,2024-11-24,2024-11-24,2024-11-25,1,OTA,USD,250.3,230.28,False,230.28,False,False,False,False,1
bruno thomas,BK00206,thomas.bruno146@icloud.com,Switzerland,italiana,2024-10-21,2024-10-21,2024-10-24,3,OTA,USD,197.11,181.34,False,544.02,False,False,False,False,0
bruno william,BK00452,william.bruno12@icloud.com,Japan,senza glutine,2024-12-19,2024-12-19,2024-12-22,3,OTA,EUR,471.99,471.99,False,1415.97,True,False,False,False,1
bruno youssef,BK00172,youssef.bruno14@outlook.com,Japan,italiana,2024-10-11,2024-10-11,2024-10-13,2,OTA,EUR,195.76,195.76,False,391.52,False,False,False,False,0
camille garcia,BK00186,camille.garcia475@yahoo.com,Switzerland,internazionale,2024-10-14,2024-10-14,2024-10-15,1,OTA,EUR,295.34,295.34,False,295.34,False,False,False,False,0
camille kumar,BK00408,camille.kumar356@yahoo.com,Switzerland,vegana,2024-12-12,2024-12-12,2024-12-14,2,direct,EUR,436.12,436.12,False,872.24,True,False,False,False,0
camille lopez,BK00181,camille.lopez406@outlook.com,Switzerland,senza glutine,2024-10-13,2024-10-13,2024-10-17,4,OTA,EUR,212.39,212.39,False,849.56,False,False,False,False,0
camille marino,BK00309,camille.marino234@gmail.com,Germany,senza glutine,2024-11-22,2024-11-22,2024-11-25,3,OTA,EUR,236.91,236.91,False,710.73,False,False,False,False,0
camille moreau,BK00518,camille.moreau644@outlook.com,Netherlands,vegetariana,2024-12-28,2024-12-28,2025-01-01,4,direct,USD,339.97,312.77,False,1251.08,True,False,False,False,1
camille muller,BK00163,camille.muller670@yahoo.com,UK,internazionale,2024-10-09,2024-10-09,2024-10-12,3,OTA,EUR,249.87,249.87,False,749.61,False,False,False,False,0
camille nakamura,BK00501,camille.nakamura89@outlook.com,UAE,internazionale,2024-12-25,2024-12-25,2024-12-29,4,OTA,USD,450.81,414.75,False,1659.0,True,False,False,False,0
camille park,BK00541,camille.park893@gmail.com,UAE,italiana,2025-01-03,2025-01-03,2025-01-08,5,direct,EUR,219.62,219.62,False,1098.1,False,False,False,False,1
camille patel,BK00040,camille.patel971@gmail.com,USA,kosher,2024-09-16,2024-09-16,2024-09-18,2,OTA,EUR,404.83,404.83,False,809.66,True,False,False,False,0
camille schmidt,BK00606,camille.schmidt671@gmail.com,Germany,kosher,2025-01-19,2025-01-19,2025-01-21,2,OTA,EUR,230.87,230.87,False,461.74,False,False,False,False,1
camille tanaka,BK00242,camille.tanaka617@icloud.com,Italy,italiana,2024-11-01,2024-11-01,2024-11-02,1,OTA,EUR,182.32,182.32,False,182.32,False,False,False,False,0
carlos colombo,BK00373,carlos.colombo353@yahoo.com,Japan,italiana,2024-12-06,2024-12-06,2024-12-10,4,OTA,EUR,383.15,383.15,False,1532.6,True,False,False,False,0
carlos dubois,BK00358,carlos.dubois993@outlook.com,UAE,pesce,2024-12-05,2024-12-05,2024-12-10,5,OTA,EUR,406.77,406.77,False,2033.85,True,False,False,False,0
carlos ivanov,BK00239,carlos.ivanov296@gmail.com,USA,italiana,2024-10-31,2024-10-31,2024-11-01,1,direct,USD,208.45,191.77,False,191.77,False,False,False,False,0
carlos muller,BK00633,carlos.muller520@yahoo.com,France,kosher,2025-01-28,2025-01-28,2025-01-29,1,OTA,EUR,222.26,222.26,False,222.26,False,False,False,False,0
