guest_name,email,country,prima_visita,cibo_preferito
  Olga Park  ,olga.park376@gmail.com,Germany,2025-09-02,senza glutine
Patricia Suzuki,patricia.suzuki917@icloud.com,USA,2026-03-11,vegana
Aiko Watanabe,aiko.watanabe984@gmail.com,Netherlands,2025-09-21,italiana
simone esposito,simone.esposito226@outlook.com,Italy,2026-04-21,kosher
erik sokolov,erik.sokolov854@outlook.com,Spain,2026-06-15,kosher
  Silvia Sharma  ,silvia.sharma800@icloud.com,Switzerland,2024-09-21,italiana
ahmed conti,ahmed.conti922@yahoo.com,Netherlands,2024-11-10,halal
Nakamura James,james.nakamura187@outlook.com,Germany,2025-06-20,italiana
Kaczmarek Francesco,francesco.kaczmarek965@icloud.com,Netherlands,2026-07-30,halal
Chiara Leroy,chiara.leroy648@yahoo.com,Netherlands,2025-07-21,vegana
LAURA KOBAYASHI,laura.kobayashi642@gmail.com,UAE,2026-07-15,kosher
ISABELLA BIANCHI,isabella.bianchi678@outlook.com,Germany,2025-08-22,italiana
David Al-Farsi,david.al-farsi627@yahoo.com,UAE,2025-05-22,halal
  Matteo Yamamoto  ,matteo.yamamoto497@icloud.com,UAE,2026-07-22,senza glutine
GIULIA KLEIN,giulia.klein844@gmail.com,Switzerland,2025-10-21,halal
Giorgia Silva,giorgia.silva658@icloud.com,Italy,2025-07-02,vegana
Kim Yuki,yuki.kim780@yahoo.com,Spain,2024-10-03,pesce
  Kenji Costa  ,kenji.costa682@outlook.com,Spain,2024-12-07,italiana
Sophie Leroy,sophie.leroy254@gmail.com,UAE,2024-12-21,vegetariana
  Giulia Al-Farsi  ,giulia.al-farsi317@icloud.com,USA,2025-07-04,vegetariana
astrid bernard,astrid.bernard21@gmail.com,Netherlands,2025-12-05,vegana
giorgia nilsson,giorgia.nilsson993@gmail.com,USA,2025-06-06,vegetariana
  Silvia Schmidt  ,silvia.schmidt398@yahoo.com,Spain,2024-10-26,senza glutine
  Ananya Bianchi  ,ananya.bianchi770@yahoo.com,France,2025-04-26,halal
Laura Weber,laura.weber434@gmail.com,Netherlands,2025-07-26,halal
  Robert Dubois  ,robert.dubois50@icloud.com,Netherlands,2026-09-06,kosher
VALENTINA SOKOLOV,valentina.sokolov255@yahoo.com,Switzerland,2025-07-18,vegana
Suzuki Diego,diego.suzuki616@yahoo.com,Switzerland,2024-11-21,internazionale
JEAN SMITH,jean.smith526@gmail.com,Italy,2025-11-12,halal
Amelia Klein,amelia.klein908@yahoo.com,Germany,2026-07-31,kosher
Matteo Wagner,matteo.wagner144@outlook.com,USA,2026-05-20,italiana
  Fatima Meyer  ,fatima.meyer806@yahoo.com,USA,2026-06-20,vegana
  Henri Fischer  ,henri.fischer1@outlook.com,Switzerland,2026-08-05,senza glutine
KLAUS PATEL,klaus.patel829@gmail.com,Germany,2025-12-20,vegana
Andersen Arjun,arjun.andersen886@outlook.com,Italy,2026-09-07,halal
ARJUN SMITH,arjun.smith444@gmail.com,Japan,2024-09-26,senza glutine
Conti Fatima,fatima.conti936@outlook.com,Switzerland,2026-06-19,vegana
LUCA AL-FARSI,luca.al-farsi242@outlook.com,Germany,2026-06-30,internazionale
  Pierre Wagner  ,pierre.wagner757@icloud.com,USA,2026-07-30,senza glutine
SARA FERRARI,sara.ferrari548@yahoo.com,Netherlands,2025-08-30,italiana
PIERRE LOPEZ,pierre.lopez238@outlook.com,France,2026-05-21,pesce
  John Ferreira  ,john.ferreira872@gmail.com,Spain,2025-02-08,vegana
Silvia Kowalski,silvia.kowalski614@yahoo.com,Germany,2025-12-03,internazionale
ANDREA TANAKA,andrea.tanaka248@yahoo.com,Japan,2025-07-01,vegana
  Valentina Hassan  ,valentina.hassan323@outlook.com,UK,2025-11-29,italiana
Pierre Nilsson,pierre.nilsson725@gmail.com,UK,2026-01-18,internazionale
  Emma Greco  ,emma.greco81@icloud.com,USA,2025-06-25,italiana
  Youssef Colombo  ,youssef.colombo658@yahoo.com,Japan,2025-03-03,kosher
SARA IBRAHIM,sara.ibrahim475@icloud.com,USA,2025-06-13,vegana
HENRI IBRAHIM,henri.ibrahim159@yahoo.com,France,2026-01-05,internazionale
GIULIA MULLER,giulia.muller800@icloud.com,Netherlands,2026-01-19,italiana
Fatima Nilsson,fatima.nilsson138@icloud.com,USA,2026-03-31,italiana
FATIMA KLEIN,fatima.klein287@icloud.com,USA,2024-12-15,italiana
ANDREA SUZUKI,andrea.suzuki721@gmail.com,USA,2026-06-11,italiana
GIORGIA RICCI,giorgia.ricci601@outlook.com,Spain,2026-02-01,senza glutine
Ahmed Kim,ahmed.kim205@gmail.com,France,2024-09-25,pesce
giulia sharma,giulia.sharma87@outlook.com,Spain,2025-06-20,kosher
Klaus Meyer,klaus.meyer636@icloud.com,UAE,2025-08-24,internazionale
nikolai lefevre,nikolai.lefevre862@gmail.com,Spain,2025-07-02,senza glutine
Matteo Conti,matteo.conti732@icloud.com,UK,2024-12-10,italiana
Ahmed Chen,ahmed.chen370@outlook.com,Netherlands,2025-02-22,halal
john andersen,john.andersen568@icloud.com,UK,2024-09-22,pesce
Klaus Leroy,klaus.leroy835@yahoo.com,Switzerland,2024-11-25,pesce
Aiko Park,aiko.park705@icloud.com,UK,2025-04-27,italiana
MARIA FISCHER,maria.fischer102@gmail.com,UK,2026-06-12,vegana
  Kenji Klein  ,kenji.klein803@gmail.com,UAE,2025-09-23,internazionale
Andersen Layla,layla.andersen52@outlook.com,USA,2025-08-03,halal
Marco Greco,marco.greco920@icloud.com,Switzerland,2026-01-03,pesce
Leroy Giulia,giulia.leroy311@icloud.com,Italy,2025-09-30,senza glutine
Lefevre Anna,anna.lefevre135@outlook.com,France,2024-12-17,vegetariana
patricia petrov,patricia.petrov376@icloud.com,Switzerland,2025-03-10,kosher
Dmitri Lopez,dmitri.lopez913@icloud.com,USA,2025-03-10,halal
OLIVIA NOWAK,olivia.nowak908@icloud.com,USA,2025-12-02,vegetariana
Lefevre Carlos,carlos.lefevre584@icloud.com,Netherlands,2025-08-21,vegana
EMMA SCHMIDT,emma.schmidt149@outlook.com,UAE,2025-07-15,vegana
Charlotte Silva,charlotte.silva345@outlook.com,Italy,2025-10-16,senza glutine
Andrea Nakamura,andrea.nakamura669@gmail.com,Netherlands,2026-08-26,italiana
MATTEO KUMAR,matteo.kumar588@outlook.com,Spain,2025-06-09,halal
Pierre Ferrari,pierre.ferrari543@yahoo.com,Japan,2025-09-20,vegana
Sara Smith,sara.smith185@outlook.com,France,2025-08-31,pesce
OLGA SINGH,olga.singh614@gmail.com,France,2026-03-04,kosher
marie leroy,marie.leroy377@gmail.com,UAE,2026-03-19,internazionale
NIKOLAI DUBOIS,nikolai.dubois825@icloud.com,Netherlands,2026-03-17,vegana
AIKO JOHNSON,aiko.johnson287@icloud.com,France,2025-02-15,senza glutine
Astrid Greco,astrid.greco827@icloud.com,USA,2025-08-15,internazionale
patricia novak,patricia.novak921@icloud.com,Italy,2026-06-07,internazionale
Muller Ekaterina,ekaterina.muller170@icloud.com,Italy,2025-07-12,halal
LUCIA GIRARD,lucia.girard177@outlook.com,France,2026-09-02,kosher
MARIA NOVAK,maria.novak393@yahoo.com,Italy,2025-07-04,pesce
Tanaka David,david.tanaka910@icloud.com,France,2025-09-08,pesce
diego ferreira,diego.ferreira409@yahoo.com,Switzerland,2025-08-28,italiana
Thomas Fischer,thomas.fischer762@gmail.com,USA,2025-08-07,kosher
ALESSANDRO JOHNSON,alessandro.johnson689@outlook.com,Netherlands,2026-06-25,pesce
Silva Silvia,silvia.silva565@gmail.com,Germany,2024-12-29,pesce
Amelia Conti,amelia.conti562@icloud.com,USA,2025-10-29,halal
Meyer William,william.meyer607@gmail.com,UAE,2025-12-11,vegana
Bruno Henri,henri.bruno389@outlook.com,USA,2026-06-27,vegana
YUKI GRECO,yuki.greco566@outlook.com,France,2025-12-06,pesce
Youssef Kaczmarek,youssef.kaczmarek497@outlook.com,USA,2026-08-21,vegana
  Nikolai Tanaka  ,nikolai.tanaka227@yahoo.com,Germany,2026-07-08,pesce
James Lefevre,james.lefevre783@icloud.com,Japan,2025-06-26,internazionale
FATIMA HASSAN,fatima.hassan66@outlook.com,Japan,2026-07-02,kosher
SOPHIE SMITH,sophie.smith582@icloud.com,France,2026-08-20,vegetariana
ingrid chen,ingrid.chen87@yahoo.com,Japan,2025-04-17,senza glutine
andrea bianchi,andrea.bianchi783@yahoo.com,USA,2025-12-07,vegetariana
SIMONE FERRARI,simone.ferrari741@yahoo.com,Germany,2025-05-14,senza glutine
PRIYA YAMAMOTO,priya.yamamoto485@yahoo.com,Germany,2025-12-26,halal
EKATERINA GIRARD,ekaterina.girard388@outlook.com,Italy,2024-11-26,halal
LUCIA SCHMIDT,lucia.schmidt235@icloud.com,UK,2026-03-23,kosher
ASTRID SMITH,astrid.smith179@gmail.com,Spain,2025-08-01,kosher
Omar Rossi,omar.rossi543@gmail.com,Netherlands,2025-11-19,pesce
David Esposito,david.esposito935@icloud.com,Spain,2024-09-22,internazionale
hans kaczmarek,hans.kaczmarek672@yahoo.com,Italy,2026-02-09,pesce
MARCO AL-FARSI,marco.al-farsi730@icloud.com,Switzerland,2025-09-08,internazionale
priya novak,priya.novak22@outlook.com,Switzerland,2025-12-14,halal
James Nowak,james.nowak311@gmail.com,USA,2025-06-10,vegetariana
Olivia Weber,olivia.weber558@yahoo.com,Spain,2024-12-24,halal
SOPHIE KLEIN,sophie.klein74@gmail.com,USA,2025-08-08,vegetariana
ERIK BERNARD,erik.bernard826@gmail.com,Italy,2026-08-13,kosher
jean nakamura,jean.nakamura960@gmail.com,USA,2025-03-16,vegana
chiara patel,chiara.patel525@icloud.com,UK,2026-01-18,italiana
MARIA KACZMAREK,maria.kaczmarek422@yahoo.com,Switzerland,2024-10-09,vegana
Greco James,james.greco921@icloud.com,France,2026-03-05,senza glutine
ANDREA AL-RASHID,andrea.al-rashid667@outlook.com,UK,2025-03-28,vegetariana
AHMED SINGH,ahmed.singh254@yahoo.com,Spain,2025-08-16,kosher
Valentina Bianchi,valentina.bianchi308@gmail.com,Germany,2025-07-06,pesce
Giorgia Andersen,giorgia.andersen517@icloud.com,Spain,2024-12-08,italiana
FEDERICA DUBOIS,federica.dubois707@outlook.com,Germany,2025-06-24,vegana
Kenji Sharma,kenji.sharma34@outlook.com,Switzerland,2025-06-27,senza glutine
silvia singh,silvia.singh593@outlook.com,UAE,2025-09-21,vegetariana
priya costa,priya.costa57@yahoo.com,France,2026-08-27,internazionale
FATIMA KOBAYASHI,fatima.kobayashi94@yahoo.com,Netherlands,2025-08-26,italiana
JEAN NOWAK,jean.nowak302@icloud.com,Switzerland,2026-07-29,vegetariana
DMITRI TANAKA,dmitri.tanaka213@icloud.com,Spain,2025-08-21,senza glutine
Johnson Pierre,pierre.johnson473@icloud.com,Germany,2024-12-05,vegetariana
Marco Kowalski,marco.kowalski773@gmail.com,UAE,2025-03-19,pesce
ARJUN SUZUKI,arjun.suzuki989@gmail.com,Netherlands,2025-07-25,vegetariana
simone garcia,simone.garcia36@yahoo.com,Switzerland,2025-06-14,kosher
lucia ibrahim,lucia.ibrahim109@gmail.com,Switzerland,2026-07-05,halal
chiara conti,chiara.conti405@icloud.com,Netherlands,2026-01-21,kosher
Layla Petrov,layla.petrov508@yahoo.com,Switzerland,2025-11-09,internazionale
CAMILLE NOWAK,camille.nowak566@yahoo.com,UK,2025-09-05,internazionale
Ivanov Anna,anna.ivanov750@icloud.com,Japan,2025-07-20,italiana
  Luca Ferrari  ,luca.ferrari587@outlook.com,Italy,2025-12-08,italiana
Chiara Kaczmarek,chiara.kaczmarek591@icloud.com,Switzerland,2024-12-14,pesce
laura al-farsi,laura.al-farsi89@yahoo.com,Italy,2025-01-03,kosher
PAOLO COSTA,paolo.costa815@icloud.com,France,2025-06-03,vegetariana
EKATERINA RICCI,ekaterina.ricci299@icloud.com,France,2025-01-13,halal
Bianchi Matteo,matteo.bianchi154@gmail.com,France,2026-01-19,kosher
  Henri Al-Farsi  ,henri.al-farsi602@outlook.com,Japan,2024-09-22,internazionale
  Hans Nilsson  ,hans.nilsson554@yahoo.com,Germany,2025-01-01,senza glutine
ELENA SINGH,elena.singh527@gmail.com,UK,2026-07-23,italiana
PATRICIA RICCI,patricia.ricci786@gmail.com,Italy,2026-09-08,internazionale
  Patricia Bernard  ,patricia.bernard221@outlook.com,USA,2025-09-03,vegetariana
NIKOLAI SCHMIDT,nikolai.schmidt761@yahoo.com,France,2025-09-07,internazionale
Ananya Johnson,ananya.johnson713@yahoo.com,Switzerland,2026-05-05,halal
Simone Romano,simone.romano453@outlook.com,Switzerland,2024-09-28,kosher
ELENA GARCIA,elena.garcia709@gmail.com,UK,2025-08-04,internazionale
  William Marino  ,william.marino224@icloud.com,Spain,2024-12-02,kosher
AHMED FISCHER,ahmed.fischer82@yahoo.com,Switzerland,2025-07-22,internazionale
Charlotte Nowak,charlotte.nowak849@outlook.com,Switzerland,2026-09-01,internazionale
  Nikolai Ferreira  ,nikolai.ferreira752@icloud.com,USA,2026-04-13,halal
astrid petrov,astrid.petrov10@outlook.com,Japan,2026-09-02,italiana
Ibrahim Elena,elena.ibrahim451@yahoo.com,Japan,2026-04-05,italiana
MATTEO SUZUKI,matteo.suzuki277@gmail.com,Japan,2025-12-06,senza glutine
astrid greco,astrid.greco571@yahoo.com,UAE,2026-04-14,vegetariana
AMELIA SOKOLOV,amelia.sokolov902@gmail.com,Italy,2025-12-31,italiana
john girard,john.girard201@icloud.com,France,2025-08-23,internazionale
KLAUS KOWALSKI,klaus.kowalski418@gmail.com,UK,2025-05-26,italiana
Olga Greco,olga.greco476@yahoo.com,Switzerland,2025-09-20,senza glutine
  John Suzuki  ,john.suzuki766@yahoo.com,France,2025-04-19,pesce
Klaus Kumar,klaus.kumar109@icloud.com,UAE,2025-09-03,senza glutine
OMAR IBRAHIM,omar.ibrahim674@yahoo.com,Japan,2024-12-25,italiana
Kenji Ivanov,kenji.ivanov877@icloud.com,Netherlands,2025-10-26,halal
Novak Silvia,silvia.novak927@yahoo.com,Italy,2025-04-04,pesce
Park Sara,sara.park245@gmail.com,Spain,2025-05-27,kosher
Dmitri Silva,dmitri.silva522@yahoo.com,Germany,2025-09-09,vegetariana
  Jean Lopez  ,jean.lopez859@outlook.com,Switzerland,2025-01-03,pesce
Greco Sara,sara.greco202@icloud.com,UAE,2026-08-22,internazionale
Marie Ivanov,marie.ivanov353@yahoo.com,Netherlands,2025-08-14,internazionale
INGRID ANDERSEN,ingrid.andersen494@outlook.com,Switzerland,2025-06-28,senza glutine
HENRI LEROY,henri.leroy611@gmail.com,Germany,2024-09-24,kosher
Pierre Silva,pierre.silva380@outlook.com,Switzerland,2026-06-23,pesce
Alessandro Garcia,alessandro.garcia758@gmail.com,UAE,2025-12-15,vegetariana
  Ananya Weber  ,ananya.weber370@yahoo.com,Spain,2025-07-30,vegetariana
Ingrid Klein,ingrid.klein587@gmail.com,Italy,2025-04-04,kosher
Anna Wagner,anna.wagner718@outlook.com,Japan,2026-04-04,pesce
  Arjun Kobayashi  ,arjun.kobayashi277@outlook.com,USA,2026-08-13,kosher
ALESSANDRO BIANCHI,alessandro.bianchi411@outlook.com,Switzerland,2025-07-12,kosher
  Carlos Suzuki  ,carlos.suzuki274@icloud.com,UK,2024-12-19,internazionale
charlotte watanabe,charlotte.watanabe956@outlook.com,Germany,2024-12-06,internazionale
ALESSANDRO WAGNER,alessandro.wagner7@outlook.com,Netherlands,2024-09-13,pesce
Layla Bernard,layla.bernard683@yahoo.com,France,2026-04-03,senza glutine
Isabella Greco,isabella.greco523@gmail.com,UK,2026-08-31,pesce
Isabella Sharma,isabella.sharma834@gmail.com,Spain,2026-09-06,pesce
  Arjun Watanabe  ,arjun.watanabe651@yahoo.com,France,2026-05-17,halal
priya kaczmarek,priya.kaczmarek225@gmail.com,UAE,2025-01-03,vegana
  Olivia Yamamoto  ,olivia.yamamoto889@outlook.com,Italy,2026-08-29,italiana
Sokolov Olivia,olivia.sokolov433@gmail.com,Netherlands,2025-06-16,italiana
  Marco Suzuki  ,marco.suzuki880@gmail.com,Germany,2025-06-19,senza glutine
GIULIA ROMANO,giulia.romano144@outlook.com,USA,2026-01-31,vegana
William Bianchi,william.bianchi536@gmail.com,Germany,2024-10-08,vegetariana
dmitri novak,dmitri.novak195@gmail.com,USA,2026-06-15,vegana
sara andersen,sara.andersen309@outlook.com,UK,2026-09-08,vegana
  Federica Nakamura  ,federica.nakamura331@gmail.com,UK,2026-05-07,italiana
William Tanaka,william.tanaka492@icloud.com,USA,2026-05-14,italiana
ahmed romano,ahmed.romano706@gmail.com,Germany,2025-07-17,vegetariana
KLAUS YAMAMOTO,klaus.yamamoto882@icloud.com,Switzerland,2024-10-27,vegana
Priya Ricci,priya.ricci645@yahoo.com,Switzerland,2026-05-26,halal
Henri Petrov,henri.petrov732@gmail.com,USA,2025-11-30,halal
PATRICIA ESPOSITO,patricia.esposito403@gmail.com,Spain,2026-07-26,vegana
Simone Watanabe,simone.watanabe562@outlook.com,Germany,2024-12-10,pesce
Alessandro Suzuki,alessandro.suzuki437@icloud.com,USA,2025-06-04,vegetariana
GIORGIA BIANCHI,giorgia.bianchi427@icloud.com,UK,2025-07-02,pesce
Robert Bruno,robert.bruno666@yahoo.com,France,2026-01-26,halal
EMMA MARTINEZ,emma.martinez592@gmail.com,UK,2026-05-21,halal
Carlos Lopez,carlos.lopez393@yahoo.com,Japan,2026-08-21,internazionale
SARA FERREIRA,sara.ferreira871@gmail.com,Switzerland,2025-05-29,vegana
Kobayashi Patricia,patricia.kobayashi153@yahoo.com,Germany,2025-09-06,pesce
Ingrid Nowak,ingrid.nowak330@gmail.com,Spain,2024-09-24,vegetariana
ANDREA POPOV,andrea.popov255@icloud.com,Spain,2025-04-13,italiana
Francesco Schmidt,francesco.schmidt278@yahoo.com,UAE,2025-07-09,halal
INGRID ROSSI,ingrid.rossi554@gmail.com,Spain,2025-11-26,vegetariana
AMELIA LOPEZ,amelia.lopez121@yahoo.com,Japan,2025-08-26,italiana
Patricia Suzuki,patricia.suzuki169@yahoo.com,France,2025-07-04,internazionale
Luca Romano,luca.romano411@yahoo.com,UK,2025-12-14,senza glutine
Carlos Yamamoto,carlos.yamamoto342@yahoo.com,Switzerland,2026-06-16,vegana
Pierre Singh,pierre.singh577@gmail.com,Netherlands,2025-03-31,vegana
ISABELLA KLEIN,isabella.klein717@icloud.com,Netherlands,2025-06-23,internazionale
  William Klein  ,william.klein786@outlook.com,UAE,2026-02-19,senza glutine
Elena Romano,elena.romano711@gmail.com,Netherlands,2026-05-10,vegetariana
Elena Watanabe,elena.watanabe656@gmail.com,Germany,2026-06-14,halal
sara kowalski,sara.kowalski832@gmail.com,Germany,2025-02-24,kosher
henri weber,henri.weber989@gmail.com,Japan,2025-09-29,senza glutine
Rossi Marie,marie.rossi743@outlook.com,Germany,2026-07-22,senza glutine
JEAN FERNANDEZ,jean.fernandez538@icloud.com,Italy,2025-07-18,halal
Anna Kim,anna.kim649@icloud.com,Netherlands,2025-08-06,vegetariana
PAOLO CONTI,paolo.conti94@icloud.com,Germany,2026-09-02,vegetariana
  Jean Singh  ,jean.singh468@icloud.com,UAE,2024-12-08,vegana
ANNA DUBOIS,anna.dubois197@outlook.com,Japan,2026-02-20,vegetariana
Erik Kobayashi,erik.kobayashi524@gmail.com,USA,2026-06-27,vegetariana
Federica Fischer,federica.fischer680@icloud.com,Germany,2024-12-27,kosher
  Francesco Watanabe  ,francesco.watanabe655@icloud.com,Netherlands,2026-03-01,italiana
Thomas Martinez,thomas.martinez742@yahoo.com,Germany,2025-08-25,senza glutine
marco al-rashid,marco.al-rashid926@yahoo.com,USA,2026-06-28,senza glutine
francesco yamamoto,francesco.yamamoto837@outlook.com,Germany,2026-07-25,vegana
Francesco Lopez,francesco.lopez991@gmail.com,France,2026-07-08,pesce
JOHN LEFEVRE,john.lefevre200@yahoo.com,France,2024-10-25,vegetariana
hans ferrari,hans.ferrari261@icloud.com,Netherlands,2026-04-17,vegana
Martinez Silvia,silvia.martinez400@icloud.com,Germany,2026-08-01,internazionale
CHARLOTTE LEROY,charlotte.leroy679@yahoo.com,France,2025-12-12,internazionale
Chiara Kobayashi,chiara.kobayashi611@icloud.com,Germany,2025-12-02,vegana
  Pierre Marino  ,pierre.marino828@outlook.com,UAE,2024-10-04,italiana
ARJUN BRUNO,arjun.bruno717@yahoo.com,Germany,2026-06-30,italiana
klaus ibrahim,klaus.ibrahim744@gmail.com,UK,2024-10-05,italiana
chiara leroy,chiara.leroy962@yahoo.com,Netherlands,2025-06-08,vegetariana
Charlotte Bianchi,charlotte.bianchi206@yahoo.com,Japan,2026-08-04,kosher
PATRICIA FISCHER,patricia.fischer927@icloud.com,Germany,2026-08-15,senza glutine
Elena Dubois,elena.dubois912@yahoo.com,Spain,2026-09-05,vegana
WILLIAM BERNARD,william.bernard50@outlook.com,Spain,2025-08-29,internazionale
chiara rossi,chiara.rossi133@gmail.com,Spain,2025-01-20,halal
Andersen Francesco,francesco.andersen752@gmail.com,Japan,2025-09-03,kosher
sophie kaczmarek,sophie.kaczmarek639@yahoo.com,UK,2024-12-03,vegetariana
  Priya Wagner  ,priya.wagner281@yahoo.com,Italy,2026-07-08,italiana
  Astrid Esposito  ,astrid.esposito396@icloud.com,Japan,2025-10-21,vegana
lucia bianchi,lucia.bianchi534@gmail.com,USA,2025-07-24,italiana
  Aiko Muller  ,aiko.muller757@icloud.com,France,2024-11-11,senza glutine
Erik Popov,erik.popov317@icloud.com,UK,2025-07-24,kosher
KLAUS KACZMAREK,klaus.kaczmarek448@yahoo.com,Switzerland,2026-07-05,senza glutine
  Dmitri Kobayashi  ,dmitri.kobayashi875@yahoo.com,UAE,2026-02-17,halal
erik marino,erik.marino249@gmail.com,Switzerland,2024-11-14,senza glutine
Olga Ferreira,olga.ferreira435@gmail.com,USA,2025-01-01,pesce
HANS WEBER,hans.weber350@yahoo.com,Switzerland,2025-07-18,pesce
AIKO PATEL,aiko.patel113@yahoo.com,Germany,2024-12-02,senza glutine
sara colombo,sara.colombo415@gmail.com,USA,2026-08-08,senza glutine
Novak Francesco,francesco.novak849@icloud.com,Italy,2025-12-28,vegana
NIKOLAI YAMAMOTO,nikolai.yamamoto640@outlook.com,UK,2024-11-27,kosher
Fatima Ferreira,fatima.ferreira378@gmail.com,USA,2026-05-21,senza glutine
hans bruno,hans.bruno382@gmail.com,Germany,2025-07-06,halal
Federica Costa,federica.costa129@yahoo.com,UAE,2025-04-04,vegana
Youssef Kobayashi,youssef.kobayashi910@gmail.com,USA,2025-10-31,vegetariana
Jean Fischer,jean.fischer576@yahoo.com,Spain,2024-09-16,pesce
Paolo Yamamoto,paolo.yamamoto236@icloud.com,Japan,2025-08-23,kosher
Rossi Olga,olga.rossi445@outlook.com,USA,2026-06-24,internazionale
Marie Dubois,marie.dubois211@icloud.com,Germany,2026-08-05,pesce
NIKOLAI WATANABE,nikolai.watanabe314@yahoo.com,Japan,2025-06-23,halal
Nikolai Nowak,nikolai.nowak788@gmail.com,France,2025-12-23,halal
  Chiara Ricci  ,chiara.ricci487@gmail.com,Spain,2025-03-15,internazionale
Robert Ivanov,robert.ivanov26@icloud.com,Japan,2025-10-20,vegana
  Ahmed Bianchi  ,ahmed.bianchi864@outlook.com,UK,2025-04-14,vegana
Meyer Yuki,yuki.meyer198@gmail.com,Spain,2025-11-02,vegetariana
