booking_id,guest_name_norm,email,country,cibo_preferito,prima_visita,check_in,check_out,nights,channel,currency,room_rate,room_rate_eur,cancelled,net_revenue_eur,high_season,post_promo,date_corretta,nome_ambiguo
BK00053,dmitri ferreira,dmitri.ferreira468@yahoo.com,Germany,vegetariana,2024-09-18,2024-09-18,2024-09-21,3,direct,EUR,404.38,404.38,False,1213.14,True,False,False,False
BK00054,henri singh,henri.singh463@gmail.com,UAE,vegana,2024-09-18,2024-09-18,2024-09-26,8,direct,EUR,435.33,435.33,False,3482.64,True,False,False,False
BK00055,nilsson robert,robert.nilsson403@outlook.com,UAE,vegana,2024-09-18,2024-09-18,2024-09-20,2,OTA,EUR,499.25,499.25,False,998.5,True,False,False,False
BK00056,girard yuki,yuki.girard14@yahoo.com,USA,senza glutine,2024-09-18,2024-09-18,2024-09-21,3,direct,EUR,354.04,354.04,True,0.0,True,False,False,False
BK00057,petrov silvia,silvia.petrov661@yahoo.com,Germany,internazionale,2024-09-18,2024-09-18,2024-09-22,4,OTA,USD,421.04,387.36,False,1549.44,True,False,False,False
BK00058,priya watanabe,priya.watanabe891@icloud.com,Germany,halal,2024-09-18,2024-09-18,2024-09-21,3,OTA,USD,421.18,387.49,False,1162.47,True,False,False,True
BK00059,olivia park,olivia.park424@icloud.com,UAE,kosher,2024-09-18,2024-09-18,2024-09-21,3,OTA,USD,430.84,396.37,False,1189.11,True,False,False,False
BK00060,ferrari giorgia,giorgia.ferrari942@gmail.com,UAE,vegetariana,2024-09-19,2024-09-19,2024-09-25,6,OTA,EUR,461.75,461.75,False,2770.5,True,False,False,False
BK00061,elena martinez,elena.martinez25@icloud.com,Germany,vegana,2024-09-19,2024-09-19,2024-09-24,5,OTA,USD,408.03,375.39,False,1876.95,True,False,False,False
BK00062,aiko singh,aiko.singh725@outlook.com,Japan,italiana,2024-09-19,2024-09-19,2024-09-24,5,OTA,EUR,312.24,312.24,False,1561.2,True,False,False,False
BK00063,girard isabella,isabella.girard57@gmail.com,Netherlands,vegetariana,2024-09-19,2024-09-19,2024-09-24,5,direct,USD,422.37,388.58,False,1942.9,True,False,False,False
BK00064,francesco lefevre,francesco.lefevre110@icloud.com,Japan,pesce,2024-09-20,2024-09-20,2024-09-22,2,direct,EUR,407.39,407.39,False,814.78,True,False,False,False
BK00065,patel youssef,youssef.patel793@yahoo.com,Italy,halal,2024-09-20,2024-09-20,2024-09-23,3,direct,EUR,383.37,383.37,False,1150.11,True,False,False,True
BK00066,maria silva,maria.silva496@outlook.com,Japan,halal,2024-09-20,2024-09-20,2024-09-22,2,direct,EUR,328.73,328.73,False,657.46,True,False,False,False
BK00067,fernandez valentina,valentina.fernandez290@yahoo.com,UK,pesce,2024-09-20,2024-09-20,2024-09-23,3,OTA,EUR,402.17,402.17,False,1206.51,True,False,False,False
BK00068,ferrari kenji,kenji.ferrari456@outlook.com,Italy,senza glutine,2024-09-20,2024-09-20,2024-09-22,2,OTA,EUR,460.73,460.73,False,921.46,True,False,False,False
BK00069,ferrari valentina,valentina.ferrari732@yahoo.com,Switzerland,halal,2024-09-20,2024-09-20,2024-09-25,5,OTA,USD,475.94,437.86,False,2189.3,True,False,False,False
BK00070,james johnson,james.johnson856@outlook.com,Switzerland,vegana,2024-09-21,2024-09-21,2024-09-25,4,OTA,EUR,394.51,394.51,False,1578.04,True,False,False,False
BK00071,hans rossi,hans.rossi455@outlook.com,Spain,kosher,2024-09-21,2024-09-21,2024-09-24,3,direct,EUR,393.59,393.59,False,1180.77,True,False,False,False
BK00072,chen erik,erik.chen40@icloud.com,UK,kosher,2024-09-21,2024-09-21,2024-09-27,6,OTA,EUR,418.99,418.99,False,2513.94,True,False,False,False
BK00073,marie weber,marie.weber504@gmail.com,France,halal,2024-09-21,2024-09-21,2024-09-24,3,OTA,EUR,432.93,432.93,False,1298.79,True,False,False,False
BK00074,sharma silvia,silvia.sharma800@icloud.com,Switzerland,italiana,2024-09-21,2024-09-21,2024-09-25,4,direct,EUR,436.84,436.84,False,1747.36,True,False,False,False
BK00075,giorgia greco,giorgia.greco732@icloud.com,Germany,pesce,2024-09-21,2024-09-21,2024-09-23,2,direct,USD,459.24,422.5,False,845.0,True,False,False,False
BK00076,garcia marie,marie.garcia155@outlook.com,France,pesce,2024-09-21,2024-09-21,2024-09-24,3,OTA,EUR,422.06,422.06,False,1266.18,True,False,False,False
BK00077,arjun nowak,arjun.nowak147@icloud.com,UK,halal,2024-09-22,2024-09-22,2024-09-25,3,OTA,USD,409.17,376.44,False,1129.32,True,False,False,False
BK00078,john kowalski,john.kowalski861@gmail.com,Switzerland,pesce,2024-09-22,2024-09-22,2024-09-23,1,OTA,USD,486.07,447.18,False,447.18,True,False,False,False
BK00079,ekaterina sokolov,ekaterina.sokolov235@yahoo.com,Germany,senza glutine,2024-09-22,2024-09-22,2024-09-25,3,direct,EUR,400.34,400.34,False,1201.02,True,False,False,False
BK00080,david esposito,david.esposito935@icloud.com,Spain,internazionale,2024-09-22,2024-09-22,2024-09-24,2,direct,EUR,379.78,379.78,False,759.56,True,False,False,False
BK00081,klaus ricci,klaus.ricci726@gmail.com,UK,pesce,2024-09-22,2024-09-22,2024-09-25,3,direct,EUR,374.99,374.99,False,1124.97,True,False,False,False
BK00082,andersen john,john.andersen568@icloud.com,UK,pesce,2024-09-22,2024-09-22,2024-09-24,2,OTA,EUR,457.04,457.04,False,914.08,True,False,False,False
BK00083,conti isabella,isabella.conti615@outlook.com,Japan,halal,2024-09-22,2024-09-22,2024-09-24,2,OTA,EUR,384.41,384.41,True,0.0,True,False,False,False
BK00084,johnson luca,luca.johnson88@gmail.com,UK,vegana,2024-09-22,2024-09-22,2024-09-23,1,OTA,USD,367.54,338.14,False,338.14,True,False,False,False
BK00085,aiko rossi,aiko.rossi405@icloud.com,Switzerland,internazionale,2024-09-22,2024-09-22,2024-09-24,2,direct,EUR,475.91,475.91,False,951.82,True,False,False,False
BK00086,al-farsi henri,henri.al-farsi602@outlook.com,Japan,internazionale,2024-09-22,2024-09-22,2024-09-27,5,direct,EUR,371.05,371.05,False,1855.25,True,False,False,False
BK00087,andrea girard,andrea.girard24@outlook.com,France,pesce,2024-09-22,2024-09-22,2024-09-23,1,OTA,EUR,489.13,489.13,False,489.13,True,False,False,True
BK00088,esposito marco,marco.esposito892@outlook.com,UK,vegana,2024-09-23,2024-09-23,2024-09-26,3,direct,EUR,431.21,431.21,False,1293.63,True,False,False,False
BK00089,esposito thomas,thomas.esposito557@yahoo.com,Japan,kosher,2024-09-23,2024-09-23,2024-09-26,3,OTA,EUR,374.79,374.79,False,1124.37,True,False,False,False
BK00090,fernandez layla,layla.fernandez825@gmail.com,Germany,vegana,2024-09-23,2024-09-23,2024-09-30,7,OTA,EUR,355.18,355.18,False,2486.26,True,False,False,False
BK00091,suzuki valentina,valentina.suzuki449@yahoo.com,France,italiana,2024-09-23,2024-09-23,2024-09-26,3,direct,USD,405.6,373.15,False,1119.45,True,False,False,False
BK00092,emma fernandez,emma.fernandez161@yahoo.com,Japan,internazionale,2024-09-23,2024-09-23,2024-09-24,1,OTA,EUR,422.95,422.95,False,422.95,True,False,False,True
BK00093,henri leroy,henri.leroy611@gmail.com,Germany,kosher,2024-09-24,2024-09-24,2024-09-27,3,OTA,EUR,426.12,426.12,False,1278.36,True,False,False,False
BK00094,ingrid nowak,ingrid.nowak330@gmail.com,Spain,vegetariana,2024-09-24,2024-09-24,2024-09-27,3,direct,EUR,375.83,375.83,False,1127.49,True,False,False,False
BK00095,watanabe youssef,youssef.watanabe191@yahoo.com,UK,pesce,2024-09-24,2024-09-24,2024-09-27,3,direct,USD,424.14,390.21,False,1170.63,True,False,False,False
BK00096,muller paolo,paolo.muller373@icloud.com,UK,vegetariana,2024-09-24,2024-09-24,2024-10-01,7,OTA,USD,428.01,393.77,False,2756.39,True,False,False,False
BK00097,kenji weber,kenji.weber684@outlook.com,Netherlands,senza glutine,2024-09-25,2024-09-25,2024-09-28,3,OTA,EUR,460.49,460.49,False,1381.47,True,False,False,False
BK00098,david wagner,david.wagner688@outlook.com,Spain,kosher,2024-09-25,2024-09-25,2024-09-29,4,direct,EUR,412.51,412.51,False,1650.04,True,False,False,False
BK00099,isabella kowalski,isabella.kowalski570@gmail.com,Germany,italiana,2024-09-25,2024-09-25,2024-09-28,3,OTA,EUR,406.7,406.7,False,1220.1,True,False,True,False
BK00100,ahmed kim,ahmed.kim205@gmail.com,France,pesce,2024-09-25,2024-09-25,2024-09-29,4,OTA,EUR,367.86,367.86,False,1471.44,True,False,False,False
BK00101,astrid wagner,astrid.wagner980@icloud.com,USA,kosher,2024-09-25,2024-09-25,2024-09-28,3,direct,EUR,422.59,422.59,False,1267.77,True,False,False,False
BK00102,costa patricia,patricia.costa745@outlook.com,Spain,senza glutine,2024-09-25,2024-09-25,2024-09-29,4,direct,EUR,398.59,398.59,False,1594.36,True,False,False,False
BK00103,james kobayashi,james.kobayashi219@yahoo.com,UK,senza glutine,2024-09-25,2024-09-25,2024-09-29,4,OTA,EUR,393.43,393.43,False,1573.72,True,False,False,False
BK00104,kim valentina,valentina.kim388@gmail.com,UAE,vegana,2024-09-26,2024-09-26,2024-09-30,4,OTA,EUR,365.72,365.72,False,1462.88,True,False,False,True
BK00105,matteo romano,matteo.romano756@yahoo.com,USA,internazionale,2024-09-26,2024-09-26,2024-09-30,4,OTA,USD,405.61,373.16,False,1492.64,True,False,False,False
BK00106,klein simone,simone.klein197@yahoo.com,France,halal,2024-09-26,2024-09-26,2024-09-29,3,OTA,EUR,407.47,407.47,False,1222.41,True,False,False,False
BK00107,greco ingrid,ingrid.greco932@gmail.com,Netherlands,halal,2024-09-26,2024-09-26,2024-09-30,4,direct,EUR,424.37,424.37,False,1697.48,True,False,False,False
BK00108,arjun smith,arjun.smith444@gmail.com,Japan,senza glutine,2024-09-26,2024-09-26,2024-09-29,3,direct,EUR,416.84,416.84,False,1250.52,True,False,False,False
BK00109,sara schmidt,sara.schmidt790@icloud.com,Netherlands,senza glutine,2024-09-26,2024-09-26,2024-09-29,3,OTA,USD,491.87,452.52,False,1357.56,True,False,False,False
BK00110,andrea ivanov,andrea.ivanov253@yahoo.com,Japan,senza glutine,2024-09-27,2024-09-27,2024-09-30,3,direct,USD,477.98,439.74,False,1319.22,True,False,False,False
BK00111,ananya ivanov,ananya.ivanov689@yahoo.com,Switzerland,internazionale,2024-09-27,2024-09-27,2024-09-29,2,OTA,EUR,520.45,520.45,False,1040.9,True,False,False,True
BK00112,hans ivanov,hans.ivanov796@gmail.com,Switzerland,internazionale,2024-09-27,2024-09-27,2024-09-29,2,direct,EUR,382.5,382.5,True,0.0,True,False,False,False
BK00113,ananya garcia,ananya.garcia535@icloud.com,Switzerland,italiana,2024-09-27,2024-09-27,2024-09-30,3,OTA,USD,466.75,429.41,False,1288.23,True,False,False,False
BK00114,charlotte patel,charlotte.patel905@yahoo.com,Italy,vegana,2024-09-27,2024-09-27,2024-09-30,3,direct,EUR,462.97,462.97,False,1388.91,True,False,False,False
BK00115,romano thomas,thomas.romano135@outlook.com,USA,italiana,2024-09-27,2024-09-27,2024-10-02,5,OTA,EUR,453.88,453.88,False,2269.4,True,False,False,False
BK00116,colombo isabella,isabella.colombo793@yahoo.com,Spain,kosher,2024-09-27,2024-09-27,2024-10-03,6,OTA,EUR,411.6,411.6,False,2469.6,True,False,False,False
BK00117,john kaczmarek,john.kaczmarek807@outlook.com,Spain,vegana,2024-09-27,2024-09-27,2024-09-28,1,OTA,USD,395.24,363.62,False,363.62,True,False,False,False
BK00118,priya singh,priya.singh111@outlook.com,Switzerland,vegana,2024-09-27,2024-09-27,2024-09-28,1,OTA,EUR,431.14,431.14,False,431.14,True,False,False,False
BK00119,bruno dmitri,dmitri.bruno516@icloud.com,Japan,internazionale,2024-09-28,2024-09-28,2024-10-01,3,OTA,USD,401.79,369.65,False,1108.95,True,False,False,True
BK00120,ananya klein,ananya.klein655@outlook.com,USA,internazionale,2024-09-28,2024-09-28,2024-10-01,3,OTA,EUR,473.09,473.09,False,1419.27,True,False,False,False
BK00121,aiko hassan,aiko.hassan384@gmail.com,USA,senza glutine,2024-09-28,2024-09-28,2024-09-30,2,OTA,EUR,389.6,389.6,False,779.2,True,False,False,False
BK00122,schmidt william,william.schmidt750@yahoo.com,Germany,italiana,2024-09-28,2024-09-28,2024-10-01,3,OTA,EUR,379.42,379.42,True,0.0,True,False,False,False
BK00123,romano simone,simone.romano453@outlook.com,Switzerland,kosher,2024-09-28,2024-09-28,2024-10-04,6,OTA,EUR,346.14,346.14,False,2076.84,True,False,False,False
BK00124,al-farsi valentina,valentina.al-farsi21@yahoo.com,Switzerland,pesce,2024-09-28,2024-09-28,2024-10-01,3,direct,EUR,440.72,440.72,False,1322.16,True,False,False,False
BK00125,colombo yuki,yuki.colombo920@icloud.com,Switzerland,italiana,2024-09-28,2024-09-28,2024-09-30,2,direct,EUR,417.02,417.02,False,834.04,True,False,False,False
BK00126,matteo rossi,matteo.rossi680@gmail.com,Switzerland,pesce,2024-09-29,2024-09-29,2024-10-01,2,direct,USD,401.55,369.43,False,738.86,True,False,False,False
BK00127,arjun park,arjun.park702@yahoo.com,France,vegana,2024-09-29,2024-09-29,2024-10-02,3,OTA,EUR,379.15,379.15,False,1137.45,True,False,False,False
BK00128,conti hans,hans.conti659@gmail.com,Italy,italiana,2024-09-29,2024-09-29,2024-10-02,3,direct,USD,470.12,432.51,False,1297.53,True,False,False,False
BK00129,dmitri hassan,dmitri.hassan114@icloud.com,Netherlands,senza glutine,2024-09-29,2024-09-29,2024-10-02,3,direct,EUR,441.52,441.52,False,1324.56,True,False,False,False
BK00130,nikolai sokolov,nikolai.sokolov938@icloud.com,Spain,senza glutine,2024-09-30,2024-09-30,2024-10-01,1,direct,USD,361.48,332.56,False,332.56,True,False,False,False
BK00131,bianchi pierre,pierre.bianchi593@icloud.com,Switzerland,vegana,2024-09-30,2024-09-30,2024-10-04,4,direct,EUR,404.15,404.15,False,1616.6,True,False,False,False
BK00132,arjun colombo,arjun.colombo462@yahoo.com,Switzerland,vegetariana,2024-09-30,2024-09-30,2024-10-05,5,direct,EUR,361.22,361.22,False,1806.1,True,False,False,True
BK00133,sophie weber,sophie.weber133@yahoo.com,Germany,halal,2024-09-30,2024-09-30,2024-10-02,2,OTA,EUR,451.96,451.96,False,903.92,True,False,False,False
BK00134,petrov william,william.petrov236@outlook.com,Japan,vegetariana,2024-10-02,2024-10-02,2024-10-04,2,direct,EUR,240.53,240.53,False,481.06,False,False,False,False
BK00135,giulia johnson,giulia.johnson634@outlook.com,France,vegana,2024-10-02,2024-10-02,2024-10-06,4,direct,EUR,205.13,205.13,False,820.52,False,False,False,False
BK00136,kim lucia,lucia.kim17@outlook.com,Switzerland,kosher,2024-10-02,2024-10-02,2024-10-04,2,OTA,EUR,251.09,251.09,False,502.18,False,False,False,False
BK00137,kim yuki,yuki.kim780@yahoo.com,Spain,pesce,2024-10-03,2024-10-03,2024-10-05,2,direct,EUR,244.63,244.63,False,489.26,False,False,False,False
BK00138,fatima fischer,fatima.fischer815@icloud.com,France,italiana,2024-10-03,2024-10-03,2024-10-04,1,OTA,EUR,233.5,233.5,False,233.5,False,False,False,False
BK00139,colombo francesco,francesco.colombo380@yahoo.com,UAE,internazionale,2024-10-03,2024-10-03,2024-10-05,2,direct,USD,191.05,175.77,False,351.54,False,False,False,False
BK00140,alessandro ferreira,alessandro.ferreira730@icloud.com,Germany,internazionale,2024-10-03,2024-10-03,2024-10-13,10,direct,EUR,297.84,297.84,False,2978.4,False,False,False,False
BK00141,matteo moreau,matteo.moreau200@yahoo.com,USA,halal,2024-10-03,2024-10-03,2024-10-06,3,OTA,EUR,291.84,291.84,False,875.52,False,False,False,False
BK00142,dubois william,william.dubois557@icloud.com,Switzerland,pesce,2024-10-03,2024-10-03,2024-10-05,2,direct,EUR,283.1,283.1,False,566.2,False,False,False,True
BK00143,james wagner,james.wagner811@outlook.com,Netherlands,italiana,2024-10-04,2024-10-04,2024-10-08,4,OTA,EUR,216.25,216.25,False,865.0,False,False,False,False
BK00144,marino pierre,pierre.marino828@outlook.com,UAE,italiana,2024-10-04,2024-10-04,2024-10-05,1,OTA,USD,211.16,194.27,False,194.27,False,False,False,False
BK00145,klein robert,robert.klein553@gmail.com,France,halal,2024-10-05,2024-10-05,2024-10-09,4,direct,EUR,215.65,215.65,False,862.6,False,False,False,False
BK00146,david klein,david.klein74@outlook.com,UK,kosher,2024-10-05,2024-10-05,2024-10-09,4,OTA,EUR,222.06,222.06,False,888.24,False,False,False,False
BK00147,pierre schmidt,pierre.schmidt335@outlook.com,France,internazionale,2024-10-05,2024-10-05,2024-10-08,3,direct,EUR,221.02,221.02,True,0.0,False,False,False,False
BK00148,ibrahim klaus,klaus.ibrahim744@gmail.com,UK,italiana,2024-10-05,2024-10-05,2024-10-06,1,OTA,EUR,216.71,216.71,False,216.71,False,False,False,False
BK00149,rossi silvia,silvia.rossi417@outlook.com,UAE,halal,2024-10-05,2024-10-05,2024-10-06,1,OTA,EUR,238.44,238.44,False,238.44,False,False,False,False
BK00150,ananya nowak,ananya.nowak390@icloud.com,Germany,pesce,2024-10-06,2024-10-06,2024-10-08,2,OTA,USD,277.3,255.12,False,510.24,False,False,False,True
BK00151,ferrari laura,laura.ferrari572@icloud.com,Japan,pesce,2024-10-06,2024-10-06,2024-10-08,2,direct,EUR,231.38,231.38,False,462.76,False,False,False,False
BK00152,carlos novak,carlos.novak532@icloud.com,Germany,senza glutine,2024-10-06,2024-10-06,2024-10-07,1,OTA,EUR,246.32,246.32,False,246.32,False,False,False,True
BK00153,henri tanaka,henri.tanaka253@icloud.com,UAE,pesce,2024-10-06,2024-10-06,2024-10-08,2,OTA,EUR,307.28,307.28,False,614.56,False,False,False,False
BK00154,al-farsi arjun,arjun.al-farsi445@outlook.com,Spain,vegetariana,2024-10-06,2024-10-06,2024-10-08,2,OTA,EUR,217.53,217.53,False,435.06,False,False,False,False
BK00155,novak valentina,valentina.novak29@outlook.com,USA,italiana,2024-10-07,2024-10-07,2024-10-09,2,OTA,EUR,261.11,261.11,False,522.22,False,False,False,False
